Name,Nationality,Overall,Position,Club
D. Suárez,Uruguay,69,RB,Peñarol
J. Hove,Norway,69,CM,AIK
F. Di Mariano,Italy,71,RM,Modena
M. Mehlem,Germany,72,CM,DSC Arminia Bielefeld
A. Polo,Peru,72,RM,Universitario de Deportes
D. Lainez,Mexico,76,RM,
Silas,DR Congo,74,RM,VfB Stuttgart
D. Pelkas,Greece,72,CAM,PAOK
W. Weghorst,Netherlands,78,ST,Ajax
M. Coulibaly,Senegal,67,CM,Südtirol
N. Lavanchy,Switzerland,70,RB,FC Sion
I. Sulemana,Ghana,71,CDM,Bologna
G. Kanichowsky,Israel,71,CM,Ferencvárosi Torna Club
Y. Kayan,Turkey,69,CM,Eyüpspor
W. Saliba,France,87,CB,Arsenal
F. Medina,Argentina,79,CB,Olympique de Marseille
A. Morelos,Colombia,75,ST,Atlético Nacional
P. Wszołek,Poland,70,RB,Legia Warszawa
Hugo Álvarez,Spain,76,LM,RC Celta
M. Brunori,Italy,73,ST,Palermo FC
Claudio Coíntra,Brazil,77,CAM,Palmeiras
M. Del Blanco,Argentina,71,LB,Club Atlético Unión
M. Rojo,Argentina,75,CB,Racing Club
J. Brimmer,Malta,66,CM,Auckland FC
D. Haspolat,Turkey,74,CDM,KVC Westerlo
M. Isla,Chile,71,RB,Colo-Colo
J. Allen,England,68,CM,Coventry City
G. Berterame,Mexico,78,ST,
W. Montoya,Argentina,69,CM,Godoy Cruz
R. Pukštas,United States,68,CM,Hajduk Split
İ. Köybaşı,Turkey,67,LB,Göztepe SK
A. Hamdallah,Morocco,79,ST,Al Shabab
J. King,Norway,74,ST,Al Khaleej
F. Cervi,Argentina,74,LM,RC Celta
J. Concha,Peru,72,CM,Universitario de Deportes
W. Anton,Germany,82,CB,Borussia Dortmund
Gorrotxa,Spain,73,CDM,Real Sociedad
A. Nwakaeme,Nigeria,74,LM,Trabzonspor
G. Dzhikiya,Russia,73,CB,Antalyaspor
E. Kroupi,France,74,ST,AFC Bournemouth
K. Volland,Germany,70,ST,TSV 1860 München
Stoichkov,Spain,71,ST,RC Deportivo de La Coruña
C. Doucouré,Mali,77,CDM,Crystal Palace
L. Nmecha,Germany,76,ST,Leeds United
K. Onisiwo,Austria,72,ST,FC Red Bull Salzburg
D. Bojanić,Sweden,73,CM,Ulsan HD FC
L. Štulac,Slovenia,68,CDM,Reggiana
Carles Gil,Spain,79,CAM,New England Revolution
L. O'Brien,England,72,CM,Wrexham
Borja Sainz,Spain,75,LW,FC Porto
Vesga,Spain,74,CDM,Athletic Club
T. Chalobah,England,79,CB,Chelsea
C. Huerta,Mexico,73,LW,RSC Anderlecht
Arturo Inálcio,Brazil,78,CM,Flamengo
O. Wijndal,Netherlands,72,LB,Ajax
T. Ducrocq,France,70,CDM,Sporting Club Bastia
Pol Lirola,Spain,73,RB,Olympique de Marseille
Song Min Kyu,South Korea,70,LM,Jeonbuk Hyundai Motors
K. Van Den Kerkhof,Algeria,70,RM,Royal Charleroi Sporting Club
M. Tel,France,77,ST,Tottenham Hotspur
D. Tijanić,Slovenia,71,CAM,Al-Najma SC
Hugo Sotelo,Spain,73,CM,RC Celta
A. Smith,England,73,RB,AFC Bournemouth
P. Ankersen,Denmark,68,RB,FC Nordsjælland
T. Deniz,Germany,67,CDM,TSV 1860 München
M. Ellertsson,Iceland,69,CM,Genoa
A. Djiku,Ghana,77,CB,
N. Irankunda,Australia,67,RM,Watford
A. Zendejas,United States,76,RM,
G. Kastanos,Cyprus,72,CAM,Hellas Verona FC
C. Souaré,France,71,LM,Viktoria Plzeň
K. Sano,Japan,71,CDM,NEC Nijmegen
E. Forsberg,Sweden,79,CAM,New York Red Bulls
B. Lennon,United States,70,RB,Atlanta United
G. Rodríguez,Argentina,77,CDM,West Ham United
L. Walsh,England,69,CM,Luton Town
Gonzalo Villar,Spain,72,CM,Dinamo Zagreb
L. Rodríguez,Uruguay,74,RW,NEOM SC
K. Despodov,Bulgaria,77,RW,PAOK
A. Gigović,Bosnia and Herzegovina,72,CM,BSC Young Boys
C. Ejuke,Nigeria,78,LM,Sevilla FC
M. Abline,France,76,ST,FC Nantes
R. Araujo,Uruguay,83,CB,FC Barcelona
G. Ávalos,Paraguay,75,ST,Independiente
R. Fellhauer,Germany,73,CDM,FC Augsburg
J. Paintsil,Ghana,76,LM,LA Galaxy
A. Jung,Germany,72,CB,SC Freiburg
Álex Calatrava,Spain,71,RM,CD Castellón
A. Buongiorno,Italy,82,CB,Napoli
Pubill,Spain,73,RB,Atlético Madrid
C. Ronan,Republic of Ireland,69,CDM,Colorado Rapids
M. Olivera,Uruguay,78,LB,Napoli
A. Chipciu,Romania,69,LB,Universitatea Cluj
Hugo Guillamón,Spain,72,CM,Hajduk Split
D. Sidibé,France,74,CB,Toulouse FC
G. Mensah,Ghana,74,LB,AJ Auxerre
C. Domínguez,Paraguay,73,LM,Cerro Porteño
U. Sánchez,Argentina,73,RM,Belgrano de Córdoba
Erik,United Arab Emirates,73,LB,Al Ain
J. Onana,Cameroon,71,CM,Genoa
L. Abada,Israel,74,RM,Charlotte FC
E. Jelert,Denmark,73,RB,Southampton
B. Raman,Belgium,73,ST,KV Mechelen
A. Gallo,Italy,75,LB,Lecce
R. Murawski,Poland,70,CDM,Lech Poznań
F. Farías,Argentina,72,ST,Estudiantes de La Plata
J. Larsson,Sweden,66,RB,IF Elfsborg
A. Cicâldău,Romania,68,CAM,Universitatea Craiova
A. Maier,Germany,74,CM,FC Augsburg
L. Godoy,Argentina,74,RB,Independiente
T. Noslin,Netherlands,74,ST,Lazio
Iñigo Vicente,Spain,75,LM,Racing Santander
J. Bogle,England,75,RB,Leeds United
A. Mille,France,69,CAM,ESTAC Troyes
M. Hartel,Germany,75,CM,St. Louis CITY SC
João Mendes,Portugal,73,CAM,Kayserispor
K. Tete,Netherlands,77,RB,Fulham FC
Álex Pozo,Spain,71,RB,Jagiellonia Białystok
L. Assignon,France,76,RB,VfB Stuttgart
A. Sima,Senegal,74,LM,RC Lens
K. Grosicki,Poland,74,LM,Pogoń Szczecin
A. Makoumbou,Congo,73,CDM,Samsunspor
J. Hoilett,Canada,69,LM,Hibernian
C. Bassey,Nigeria,78,CB,Fulham FC
Endrick,Brazil,77,ST,Real Madrid
T. Foket,Belgium,69,RB,RSC Anderlecht
A. Trezza,Uruguay,71,RM,FC Arouca
M. Castagnetti,Italy,70,CDM,Cesena FC
G. Giménez,Paraguay,70,CDM,Cerro Porteño
Y. Barbet,France,70,CB,Al Riyadh
M. Crooks,England,69,CAM,Hull City
B. Gilmour,Scotland,74,CM,Napoli
A. Kalimuendo,France,78,ST,Nottingham Forest
T. Fernández,Argentina,74,LM,Vélez Sarsfield
G. Doué,Ivory Coast,77,RB,RC Strasbourg Alsace
N. Tella,Nigeria,78,RM,Bayer 04 Leverkusen
I. Bayesh,Iraq,68,LM,Al Riyadh
D. Jones,United States,71,LB,San Jose Earthquakes
S. Castro,Argentina,76,ST,Bologna
T. Dele-Bashiru,Nigeria,70,CM,Gençlerbirliği SK
J. Kitolano,Norway,69,CM,Sparta Rotterdam
A. Jašić,Austria,71,RB,Al Ain
P. Capelle,France,70,CDM,Angers SCO
Denis Suárez,Spain,74,CM,Deportivo Alavés
O. Brynhildsen,Norway,70,ST,FK Bodø/Glimt
D. Rubio,Chile,69,ST,Austin FC
S. Posch,Austria,79,RB,Como
F. Mancuello,Argentina,72,CAM,Independiente
Manu García,Spain,74,CAM,Sporting Kansas City
L. Bertone,Switzerland,69,CDM,FC Thun
L. Koutris,Greece,70,LB,Pogoń Szczecin
N. Eliasson,Sweden,76,RM,AEK Athens
F. Lejeune,France,78,CB,Rayo Vallecano
F. Bjørkan,Norway,74,LB,FK Bodø/Glimt
G. Raspadori,Italy,78,ST,Atlético Madrid
T. Stepanenko,Ukraine,73,CDM,Eyüpspor
B. Cufré,Argentina,68,LB,Central Cordoba SdE
F. Maouassa,France,69,LB,AS Nancy Lorraine
B. Hollerbach,Germany,77,ST,1. FSV Mainz 05
A. Ndiaye,Senegal,72,LM,Real Valladolid CF
J. Otero,Colombia,73,ST,Real Sporting de Gijón
Luisinho Conradi,Brazil,71,LB,Fortaleza
J. Chávez,Ecuador,72,LB,RC Lens
H. Van Der Bruggen,Belgium,70,CM,Cercle Brugge KSV
N. Aguerd,Morocco,81,CB,Olympique de Marseille
B. Diakité,France,79,CB,AFC Bournemouth
E. Cabrera,Argentina,68,CAM,Tigre
J. Mišić,Croatia,70,CDM,Dinamo Zagreb
A. Gaaei,Denmark,72,RB,Ajax
I. Louza,Morocco,73,CM,Watford
L. Agoumé,France,75,CDM,Sevilla FC
C. Jander,Germany,73,CM,Southampton
D. Upamecano,France,85,CB,FC Bayern München
K. Haugen,Norway,71,LB,Viking FK
L. Ramazani,Belgium,74,LM,Valencia CF
Adama Traoré,Spain,76,RM,Fulham FC
M. Braunöder,Austria,69,CM,SSC Bari
T. Gulliksen,Norway,72,CAM,SK Rapid
Andrés Martín,Spain,74,RM,Racing Santander
R. Yaremchuk,Ukraine,74,ST,Olympiacos FC
C. Witzig,Switzerland,70,CM,FC St.Gallen 1879
W. Smallbone,Republic of Ireland,72,CM,Millwall FC
Luimo Boas Santos,Brazil,79,ST,Bahia
P. Hellebrand,Czech Republic,70,CM,Górnik Zabrze
C. Ünder,Turkey,76,RW,Beşiktaş JK
M. Marin,Romania,69,CM,Pisa
J. O'Shea,Republic of Ireland,68,CM,Brisbane Roar
Cristian Gutiérrez,Spain,70,LB,UD Las Palmas
E. Nwaneri,England,76,RW,Arsenal
Heitorsinho Padilha,Brazil,74,LB,Botafogo
J. Dompé,France,75,LW,Hamburger SV
N. Mendy,Senegal,73,CDM,Watford
M. Batshuayi,Belgium,77,ST,Eintracht Frankfurt
T. Leoni,Belgium,72,CM,Stade de Reims
Altimira,Spain,77,CDM,Real Betis Balompié
A. Arslan,Germany,68,CAM,Rot-Weiss Essen
S. Dahl,Sweden,73,LB,SL Benfica
Ki Sung Yueng,South Korea,70,CM,Pohang Steelers
L. Gooch,United States,68,RB,Huddersfield Town
M. Cafaro,France,73,LM,Paris FC
K. Matsuki,Japan,67,CM,Southampton
B. Ocampo,Uruguay,70,LM,Cádiz CF
Gorosabel,Spain,77,RB,Athletic Club
T. Mohr,Germany,69,LM,Standard de Liège
Andy,Spain,68,CM,NorthEast United
Rômulo,Brazil,76,ST,RB Leipzig
A. Matusiwa,Netherlands,76,CDM,Ipswich Town
M. Lanzini,Argentina,74,CAM,Vélez Sarsfield
L. Blanco,Argentina,75,LB,Boca Juniors
Fábio Ronaldo,Portugal,68,LW,Motor Lublin
D. Bocanegra,Colombia,71,CB,América de Cali
K. Doumbia,Mali,74,CAM,Stade Brestois 29
H. Picard,France,71,LM,Columbus Crew
T. Antalyalı,Turkey,69,CM,Çaykur Rizespor
Bremer,Brazil,85,CB,Juventus
L. Sernicola,Italy,73,LB,Cremonese
E. Leopold,Germany,73,CM,Hannover 96
B. Borrello,Australia,70,ST,Western Sydney Wanderers
G. Konstantelias,Greece,77,CAM,PAOK
Jailson Caeiro,Brazil,75,RB,Cruzeiro
A. Miranchuk,Russia,78,CAM,Atlanta United
B. Davies,Wales,75,CB,Tottenham Hotspur
M. Ilaimaharitra,Madagascar,71,CDM,Standard de Liège
A. Kendouci,Algeria,71,CM,FC Lugano
Flavio,Brazil,71,CM,Al Taawoun FC
N. Casale,Italy,75,CB,Bologna
Francisco Conceição,Portugal,79,CAM,Juventus
B. Alhassan,Ghana,65,CM,FCSB
Guilherme Madruga,Brazil,69,CDM,Shandong Taishan
Héctor Bellerín,Spain,74,RB,Real Betis Balompié
Jenaro Kaio,Brazil,72,CAM,Grêmio
Brahim,Morocco,82,RM,Real Madrid
S. Araujo,Argentina,69,ST,Cerro Porteño
P. Šulc,Czech Republic,77,CAM,Olympique Lyonnais
S. Sosa,Argentina,76,CB,Racing Club
Anselmo,Brazil,69,CM,Adelaide United
A. Kalik,Australia,68,CAM,Hajduk Split
Diego López,Spain,78,LM,Valencia CF
J. Tymon,England,70,LB,Swansea City
R. Falk,Denmark,72,CM,Odense Boldklub
J. Justin,England,74,RB,Leeds United
E. Bohinen,Norway,69,CM,Venezia
B. Krasniqi,Kosovo,68,CM,FC Zürich
Y. Aït Bennasser,Morocco,70,CDM,Kayserispor
S. Chukwueze,Nigeria,80,RM,Fulham FC
S. Bastien,DR Congo,67,CM,Fortuna Sittard
K. Mbabu,Switzerland,73,RB,FC Midtjylland
A. Martegani,Argentina,70,CM,Boca Juniors
A. Santamaría,Peru,71,CB,Universitario de Deportes
A. Hickey,Scotland,74,RB,Brentford
Bruno Lamas,Brazil,68,CM,Daegu FC
T. Chery,Suriname,74,CAM,NEC Nijmegen
Fali Candé,Guinea-Bissau,71,CB,Sassuolo
A. Maxim,Romania,76,CAM,Gaziantep FK
N. Besara,Sweden,73,CAM,Hammarby Fotboll
J. Karlsson,Sweden,75,LM,Aberdeen
M. Wöber,Austria,75,CB,SV Werder Bremen
L. Janson,Argentina,71,LM,Boca Juniors
N. Rodríguez,Uruguay,68,RB,Club Nacional de Football
O. Doumbia,Ivory Coast,70,CDM,FC Lugano
N. Ioannou,Cyprus,71,LB,Sampdoria
A. Sâyoud,Algeria,75,RM,Al Hazem FC
F. Rieder,Switzerland,74,CAM,FC Augsburg
A. Hjulsager,Denmark,68,CAM,Vejle Boldklub
P. Galdames,Chile,69,CM,Independiente
C. Lukeba,France,80,CB,RB Leipzig
N. Schmidt,Germany,72,CM,Toulouse FC
D. Brooks,Wales,75,RM,AFC Bournemouth
J. Swift,England,70,CAM,Portsmouth
F. Depaoli,Italy,71,RB,Sampdoria
Simão Acunha,Brazil,76,CAM,Atlético Mineiro
M. O'Hara,Scotland,68,CM,St. Mirren
C. Espinoza,Argentina,75,RM,San Jose Earthquakes
J. Hato,Netherlands,78,LB,Chelsea
J. Alcívar,Ecuador,68,CDM,Independiente del Valle
D. Martínez,Argentina,69,RB,Atlético Tucumán
K. Fujimoto,Japan,74,CAM,Birmingham City
A. Muja,Albania,71,LM,Sint-Truidense VV
F. Potts,England,70,CDM,West Ham United
L. Balerdi,Argentina,81,CB,Olympique de Marseille
T. Anjorin,England,68,CM,Torino
J. Archimbaud,Peru,69,CM,Alianza Lima
V. Marchetti,France,70,CM,Paris FC
Paulinho,Brazil,69,LB,FC Midtjylland
S. Parekh,India,58,CM,Mohammedan SC
J. Vergés,Uruguay,70,CAM,Mushuc Runa
F. Cornejo,Chile,70,CM,LDU Quito
D. Batallini,Argentina,71,RM,Bolívar
M. Boyle,Australia,71,ST,Hibernian
A. Witry,Norway,71,RB,Rosenborg BK
C. Oliva,Uruguay,72,CDM,Club Nacional de Football
Dela,Spain,72,CB,Levante UD
Toni Lato,Spain,73,LB,RCD Mallorca
J. Livolant,France,70,RW,Casa Pia
J. Windass,England,72,CAM,Wrexham
G. Tutino,Italy,72,ST,Avellino
D. Turnbull,Scotland,70,CM,Cardiff City
T. Chancalay,Argentina,73,LM,New England Revolution
P. Ng,England,72,RB,Cardiff City
Leonai,Brazil,68,CDM,Barcelona de Guayaquil
S. Birindelli,Italy,74,RB,Monza
M. Samoise,Belgium,70,RB,KAA Gent
J. Ondrejka,Sweden,73,LM,Parma
M. Siopis,Greece,74,CDM,Panathinaikos FC
M. Hamzi,Saudi Arabia,68,CDM,Al Khaleej
K. Paal,Suriname,69,LB,Antalyaspor
O. Zmrzlý,Czech Republic,69,LM,SK Slavia Praha
Josan,Spain,72,RM,Elche CF
Douglas Armeira,Brazil,74,RB,Palmeiras
B. Kutlu,Turkey,73,CDM,Galatasaray SK
F. Jensen,Finland,72,CAM,
M. Taferner,Austria,69,CM,WSG Tirol
V. Birmančević,Serbia,76,RW,Sparta Praha
A. Francis,Ghana,68,CM,Toulouse FC
G. Berggren,Sweden,72,CM,New York Red Bulls
D. Heymans,Belgium,71,CAM,KRC Genk
P. Koopmeiners,Netherlands,74,CDM,AZ Alkmaar
A. Partipilo,Italy,71,ST,SSC Bari
D. Šarić,Bosnia and Herzegovina,67,CM,Antalyaspor
F. Castro,Colombia,70,CM,Atlético Bucaramanga
A. Borza,Romania,70,LB,Rapid Bucuresti
B. Slisz,Poland,73,CDM,Atlanta United
J. Leweling,Germany,75,RM,VfB Stuttgart
L. Sánchez,Argentina,69,LB,Argentinos Juniors
M. Šín,Czech Republic,74,CAM,AZ Alkmaar
J. Fazzini,Italy,72,CAM,Fiorentina
A. Deiola,Italy,68,CM,Cagliari
M. Simakan,France,81,CB,Al Nassr
A. Armstrong,England,73,ST,Southampton
T. Skarke,Germany,73,ST,1. FC Union Berlin
B. Spittal,Scotland,69,LM,Hearts
F. Ioannidis,Greece,77,ST,Sporting CP
P. Förster,Germany,69,CAM,Karlsruher SC
D. González,Argentina,70,CM,Club Atlético San Martín
C. Eriksen,Denmark,76,CM,VfL Wolfsburg
Areso,Spain,76,RB,Athletic Club
A. Trondsen,Norway,65,LB,Sarpsborg 08 FF
Wu Lei,China,71,RM,Shanghai Port
J. Bijol,Slovenia,77,CB,Leeds United
M. Grüll,Austria,75,LM,SV Werder Bremen
G. Reyna,United States,75,RM,Borussia Mönchengladbach
A. Fransson,Sweden,67,CM,IFK Norrköping
J. Powell,England,66,CM,Rotherham United
T. Iroegbunam,England,74,CDM,Everton
M. Majumdar,India,64,ST,Mohammedan SC
M. Ashimeru,Ghana,69,CM,RSC Anderlecht
J. Harrison,England,74,RM,Leeds United
Anuar,Morocco,69,RM,AD Ceuta FC
A. Behich,Australia,67,LB,Melbourne City FC
L. Delap,England,78,ST,Chelsea
J. Teze,Netherlands,76,RB,AS Monaco
J. Ponceau,France,74,LM,Real Valladolid CF
L. Clarkson,England,70,CAM,Aberdeen
H. Stengel,Norway,68,CM,Strømsgodset IF
Z. Aboukhlal,Morocco,74,CAM,Torino
E. Wahi,France,75,ST,Eintracht Frankfurt
I. Gruev,Bulgaria,74,CDM,Leeds United
Savinho,Brazil,82,RW,Manchester City
Gil Dias,Portugal,70,RM,Famalicão
Leo Caldeirinha,Brazil,73,CAM,Vitória
K. Kozłowski,Poland,70,CM,Gaziantep FK
Y. Benzia,Algeria,72,CAM,Al Fayha
N. Hult,Sweden,70,LB,IF Elfsborg
C. Bozdoğan,Germany,67,CM,FC Utrecht
J. Portilla,Colombia,73,CDM,Talleres
R. Laryea,Canada,72,RM,Toronto FC
Yoon Bit Garam,South Korea,67,CM,Suwon FC
Lee Yeong Jae,South Korea,66,CM,Jeonbuk Hyundai Motors
A. Gilbey,England,65,CAM,Milton Keynes Dons
A. Dennis,Nigeria,70,CM,Göztepe SK
M. Ingvartsen,Denmark,74,ST,San Diego FC
A. Belotti,Italy,77,ST,Cagliari
O. Arblaster,England,71,CM,Sheffield United
O. Abildgaard,Denmark,70,CM,Sampdoria
F. González Metilli,Argentina,73,CAM,Belgrano de Córdoba
J. Castrop,South Korea,70,CM,Borussia Mönchengladbach
O. El Hilali,Morocco,77,RB,RCD Espanyol
E. Delprato,Italy,75,RB,Parma
O. Karavaiev,Ukraine,73,RB,Dynamo Kyiv
N. Haas,Switzerland,68,CM,Empoli
R. Carrascal,Colombia,70,CM,América de Cali
Dani Pacheco,Spain,67,CDM,Wisła Płock
A. Bassi,Morocco,70,CAM,Houston Dynamo
S. Boselli,Uruguay,73,CB,River Plate
P. Ciss,Senegal,77,CDM,Rayo Vallecano
G. Hein,France,76,CAM,FC Metz
Lucas Torró,Spain,78,CDM,CA Osasuna
Yeremy Pino,Spain,80,RM,Crystal Palace
P. Musa,Croatia,76,ST,FC Dallas
B. Hlongwane,South Africa,71,RB,Minnesota United FC
R. Williams,Australia,69,RW,Bengaluru FC
R. Morishita,Japan,70,CM,Blackburn Rovers
M. Bernauer,France,69,CB,AS Saint-Étienne
Leonardo,Brazil,74,ST,Shanghai Port
Y. Minteh,Gambia,77,RM,Brighton & Hove Albion
E. Lee,England,67,CM,Wrexham
E. Kılınç,Turkey,73,LM,Samsunspor
L. Stassin,Belgium,75,ST,AS Saint-Étienne
M. Portanova,Italy,69,CM,Reggiana
Martim Neto,Portugal,70,CM,Elche CF
A. McCann,Northern Ireland,70,CM,Preston North End
Y. Diarra,Mali,68,CM,Cádiz CF
Ferran Jutglà,Spain,75,ST,RC Celta
Florentino,Portugal,80,CDM,Burnley
N. Pierozzi,Italy,69,RB,Palermo FC
K. Yılmaz,Turkey,70,CDM,Beşiktaş JK
N. Pisilli,Italy,72,CM,Roma
A. Robertson,Australia,68,CAM,Cardiff City
E. Thommy,Germany,73,CAM,Sporting Kansas City
K. Smit,Netherlands,72,CAM,AZ Alkmaar
D. Schnegg,Austria,71,LB,DC United
J. Elitim,Colombia,69,CM,Legia Warszawa
R. Cherki,France,81,RW,Manchester City
E. Galbraith,Northern Ireland,68,RB,Swansea City
Marlon Gomes,Brazil,71,CM,Shakhtar Donetsk
M. Barrow,Gambia,78,ST,Al Taawoun FC
K. Linetty,Poland,73,CDM,Kocaelispor
I. Gómez,Argentina,70,CM,Central Cordoba SdE
A. Weimann,Austria,70,CAM,Derby County
J. Lindstrøm,Denmark,75,RM,VfL Wolfsburg
S. Coleman,Republic of Ireland,70,RB,Everton
R. Hack,Germany,77,LM,Borussia Mönchengladbach
M. Ricci,Italy,67,CDM,Sampdoria
Marlion Simões,Brazil,73,LB,Cruzeiro
T. Mitchell,England,78,LB,Crystal Palace
N. Tenaglia,Argentina,76,RB,Deportivo Alavés
T. Ladra,Czech Republic,72,CAM,Viktoria Plzeň
A. Richardson,Morocco,72,CM,Fiorentina
K. Lund,United States,71,LB,1. FC Köln
A. Boiro,Senegal,73,LB,Athletic Club
B. Linssen,Netherlands,69,ST,NEC Nijmegen
M. Díaz,Argentina,69,CAM,Universidad Católica del Ecuador
Cedric Teguia,Spain,69,RM,Moreirense FC
Cafú,Portugal,68,CDM,Kasımpaşa SK
B. White,England,83,RB,Arsenal
A. Matos,England,65,CM,Sheffield United
L. Verstraete,Belgium,70,CDM,Auckland FC
G. Pezzella,Italy,71,LM,Cremonese
S. van de Streek,Netherlands,68,LM,Antalyaspor
R. Pepi,United States,76,ST,PSV
C. Styles,Hungary,70,LB,West Bromwich Albion
O. Bulut,Turkey,68,RB,Medipol Başakşehir FK
J. Larsson,Sweden,72,RM,FC København
L. Paçarada,Kosovo,72,LB,1. FC Heidenheim 1846
L. Orellano,Argentina,73,LM,FC Cincinnati
J. Gbamin,Ivory Coast,68,CDM,FC Metz
K. Antonsen,Norway,66,CM,IFK Värnamo
M. Frese,Denmark,69,LB,Hellas Verona FC
A. Fadera,Gambia,71,LM,Sassuolo
Ahn Hyun Beom,South Korea,67,RB,Suwon FC
M. Busch,Germany,72,RB,1. FC Heidenheim 1846
M. Greve,Denmark,70,RM,Randers FC
S. Moreo,Italy,71,CAM,Pisa
H. Maguire,England,80,CB,Manchester United
O. Zubkov,Ukraine,78,RM,Trabzonspor
G. Chakvetadze,Georgia,74,LM,Watford
M. Sellouki,France,68,CM,Stade Lavallois Mayenne FC
Maicol Pimenta,Brazil,72,CDM,Vasco da Gama
C. Corvalán,Argentina,73,CB,Club Atlético Unión
M. Ristić,Serbia,73,LB,RC Celta
D. Chambost,France,70,CM,Columbus Crew
L. Rodríguez,Argentina,69,LB,Instituto Atlético Central Córdoba
K. Ehizibue,Nigeria,73,RB,Udinese
A. Ståhl,Finland,68,RB,Djurgårdens IF
R. Cole,England,65,CM,Exeter City
C. Mouzakitis,Greece,71,CM,Olympiacos FC
D. Đoković,Croatia,68,CM,CFR Cluj
J. Eccles,England,70,CDM,Coventry City
D. Bakwa,France,78,RM,Nottingham Forest
Escudero,Spain,68,LB,RC Deportivo de La Coruña
D. Boloca,Romania,74,CM,Sassuolo
F. Ballo-Touré,Senegal,72,LB,FC Metz
I. Amadou,France,70,CDM,Shanghai Shenhua
M. Al Buraik,Saudi Arabia,70,LB,NEOM SC
H. Contreras,Venezuela,68,CM,Academia Puerto Cabello
Rúben Dias,Portugal,86,CB,Manchester City
R. Khadra,Germany,72,CAM,Le Havre AC
Y. Bonny,France,76,ST,Inter
N. Domínguez,Argentina,72,CB,San Lorenzo de Almagro
J. Kuchta,Czech Republic,73,ST,Sparta Praha
Nacho Fernández,Spain,82,CB,Al Qadsiah FC
Oswaldinato,Brazil,81,ST,Flamengo
K. Sessa,Germany,68,CM,Hertha BSC
A. Morley,England,66,CM,Bolton Wanderers
N. Sigur,Canada,70,RB,Hajduk Split
Kaíqundo Calado,Brazil,75,RB,Botafogo
F. Krovinović,Croatia,70,CAM,Hajduk Split
Gabriel Paulista,Brazil,77,CB,Beşiktaş JK
J. Roche,Sweden,70,CM,FC Lausanne-Sport
K. Nwakali,Nigeria,67,CM,Barnsley
P. Dorn,Germany,69,RB,FC Luzern
Gabriel,Brazil,88,CB,Arsenal
S. Dikmen,Turkey,67,CM,Antalyaspor
V. Poggi,Uruguay,70,CM,Godoy Cruz
F. Acerbi,Italy,84,CB,Inter
S. Hanca,Romania,66,RM,Asociația Clubul Sportiv Petrolul 52
D. van den Berg,Netherlands,67,CM,FC Utrecht
J. Zapata,Colombia,69,CAM,Atlético Nacional
R. Ibarra,Ecuador,70,RM,Independiente del Valle
J. Andersen,Denmark,78,CB,Fulham FC
Jovane Cabral,Cape Verde,70,LW,Estrela da Amadora
T. Bech,Denmark,68,ST,Aarhus Gymnastikforening
P. Hatzidiakos,Greece,73,CB,FC København
V. Bichakhchyan,Armenia,67,RM,Legia Warszawa
Nono,Spain,64,CM,Korona Kielce
Guridi,Spain,74,CAM,Deportivo Alavés
I. Vînă,Romania,68,CM,FCV Farul Constanța
N. Tripichio,Argentina,73,RB,San Lorenzo de Almagro
Breno Bausa,Brazil,70,CDM,Cruzeiro
Óscar Valentín,Spain,78,CDM,Rayo Vallecano
Francés,Spain,75,CB,Girona FC
S. Medina,Argentina,68,LM,Tigre
Kauã Abranches,Brazil,72,CAM,Fortaleza
J. Durán,Colombia,79,ST,Fenerbahçe SK
N. Powell,England,65,CM,Bradford City
B. Mumba,England,69,LB,Plymouth Argyle
N. D'Agostino,Australia,70,ST,Viking FK
S. Abdulhamid,Saudi Arabia,75,RB,RC Lens
A. Mandi,Algeria,75,CB,Lille OSC
C. Leemans,Netherlands,68,CM,NAC Breda
M. Desler,Denmark,73,RB,Austin FC
G. Florentín,Argentina,68,CM,Argentinos Juniors
Rogério,Brazil,73,LB,VfL Wolfsburg
F. Carrizo,Argentina,72,CAM,Cerro Porteño
J. Rowe,England,75,LM,Bologna
M. Luongo,Australia,72,CDM,Millwall FC
Oier Zarraga,Spain,71,CM,Udinese
Álex Centelles,Spain,72,LB,UD Almería
L. Travis,England,72,CDM,Derby County
J. Le Douaron,France,74,ST,Palermo FC
A. Condé,Germany,67,CM,SV Elversberg
E. Adamo,Italy,68,RB,Cesena FC
C. Condé,Guinea,69,CM,Venezia
Zito Luvumbo,Angola,71,ST,Cagliari
M. Linnes,Norway,72,RB,Molde FK
Meseguer,Spain,70,CM,Real Valladolid CF
D. Lamkel Zé,Cameroon,69,ST,Qingdao Hainiu FC
N. Mukau,DR Congo,74,CDM,Lille OSC
C. Romero,Argentina,82,CB,Tottenham Hotspur
R. Insua,Argentina,70,LB,Barracas Central
F. Đuričić,Serbia,75,CAM,Panathinaikos FC
Nicholas Aldair,Brazil,74,ST,Fluminense
D. Chavez,Argentina,68,CM,Atlético Bucaramanga
O. Norburn,Grenada,65,CM,Notts County
K. Stafylidis,Greece,68,LB,APOEL FC
P. Fusi,Italy,67,CM,Padova
B. Kapustka,Poland,72,CM,Legia Warszawa
J. Yueill,United States,69,CDM,New England Revolution
L. Scales,Republic of Ireland,75,CB,Celtic
K. Kesler-Hayden,England,72,RB,Coventry City
J. Walker,Scotland,63,CM,Grimsby Town
